Nombre evento,Componente,Descripción,palabra clave,repre,
Mensaje actualizado,null,The user with id '7243' has updated the post with id '106880' in the discussion with id '41405' in the forum with course module id '2174355'.,,,
Mensaje borrado,null,The user with id '32303' has deleted the post with id '68604' in the discussion with id '27412' in the forum with course module id '2358620'.,,,
Mensaje creado,null,The user with id '7243' has created the post with id '108489' in the discussion with id '41779' in the forum with course module id '2174355'.,,,
Mensaje enviado,null,"The user with id '35078' has sent a message in the chat with course module id
            '2411683'.",,,
Módulo de curso actualizado,null,The user with id '7243' updated the 'feedback' activity with course module id '2848147'.,,,
Módulo de curso creado,null,The user with id '7243' created the 'glossary' activity with course module id '2835328'.,,,
Módulo de curso eliminado,null,The user with id '7243' deleted the 'label' activity with course module id '2293930'.,,,
Módulo de curso visto,null,The user with id '6785' viewed the 'glossary' activity with course module id '2835328'.,,,
Notas vistas,null,The user with id '7243' viewed the notes for the user with id '35228'.,,,
Outline report viewed,null,The user with id '7243' viewed the outline report for the user with id '34160' for the course with id '8354'.,,,
Página de edición del cuestionario visitada,null,The user with id '7243' viewed the edit page for the quiz with course module id '2454971'.,,,
Perfil de usuario visto,null,The user with id '7243' viewed the profile for the user with id '39332' in the course with id '8354'.,,,
Pregunta calificada manualmente,null,The user with id '7243' manually graded the question with id '292177' for the attempt with id '233731' for the quiz with course module id '2454971'.,,,
Reinicio de curso finalizado,null,The reset of the course with id '8354' has ended.,,,
Reinicio de curso iniciado,null,The user with id '0' started the reset of the course with id '8354'.,,,
Reporte visualizado,null,The user with id '7243' viewed the scorm report 'basic' for the scorm with course module id '2295519'.,,,
Respuesta enviada,null,The user with id '35379' submitted response for 'feedback' activity with course module id '2808038'.,,,
Resumen del intento de cuestionario visualizado,null,The user with id '32089' has viewed the summary for the attempt with id '233724' belonging to the user with id '32089' for the quiz with course module id '2454969'.,,,
Retroalimentación vista,null,The user with id '7243' viewed the feedback for the user with id '31195' for the assignment with course module id '2226057'.,,,
Rol asignado,null,The user with id '0' assigned the role with id '5' to the user with id '35065'.,,,
